Modelo,Categoria,Precision,Recall,F1-Score,Support
DistilBERT + LoRA,World,0.8870967741935484,0.88,0.8835341365461847,500.0
DistilBERT + LoRA,Sports,0.96579476861167,0.96,0.9628886659979939,500.0
DistilBERT + LoRA,Business,0.7954545454545454,0.84,0.8171206225680934,500.0
DistilBERT + LoRA,Sci_Tech,0.8768267223382046,0.84,0.8580183861082737,500.0
TF-IDF + Regresión Logística,World,0.9066390041493776,0.874,0.890020366598778,500.0
TF-IDF + Regresión Logística,Sports,0.9487179487179488,0.962,0.955312810327706,500.0
TF-IDF + Regresión Logística,Business,0.8428290766208252,0.858,0.8503468780971258,500.0
TF-IDF + Regresión Logística,Sci_Tech,0.8745019920318725,0.878,0.8762475049900199,500.0
